ward_code,ward_name,ward_name_en,ward_full_name,ward_full_name_en,ward_type,province_code,province_name,province_name_en,center_lat,center_lng,bbox_south,bbox_north,bbox_west,bbox_east,area_km2
00364,Khương Đình,Khuong Dinh,Phường Khương Đình,Khuong Dinh Ward,Phường,01,Hà Nội,Hanoi,20.99098,105.814888,20.978993,21.003116,105.803225,105.824868,3.1
09552,Kiến Hưng,Kien Hung,Phường Kiến Hưng,Kien Hung Ward,Phường,01,Hà Nội,Hanoi,20.95493,105.779579,20.942501,20.965668,105.754763,105.803545,6.65
09910,Kiều Phú,Kieu Phu,Xã Kiều Phú,Kieu Phu Commune,Xã,01,Hà Nội,Hanoi,20.975417,105.607101,20.935366,21.013438,105.573681,105.636725,34.49
00382,Kim Anh,Kim Anh,Xã Kim Anh,Kim Anh Commune,Xã,01,Hà Nội,Hanoi,21.283486,105.766171,21.236573,21.354734,105.723505,105.803346,52.8
00229,Kim Liên,Kim Lien,Phường Kim Liên,Kim Lien Ward,Phường,01,Hà Nội,Hanoi,21.005653,105.832386,20.997767,21.014245,105.820207,105.841415,2.46
00199,Láng,Lang,Phường Láng,Lang Ward,Phường,01,Hà Nội,Hanoi,21.021111,105.806008,21.01055,21.030351,105.797617,105.814926,1.88
09787,Liên Minh,Lien Minh,Xã Liên Minh,Lien Minh Commune,Xã,01,Hà Nội,Hanoi,21.127928,105.645895,21.091576,21.170606,105.622955,105.677048,23.57
00328,Lĩnh Nam,Linh Nam,Phường Lĩnh Nam,Linh Nam Ward,Phường,01,Hà Nội,Hanoi,20.972519,105.891123,20.945519,21.006284,105.871081,105.907937,10.86
00145,Long Biên,Long Bien,Phường Long Biên,Long Bien Ward,Phường,01,Hà Nội,Hanoi,21.019847,105.896166,20.99374,21.052064,105.867461,105.929119,19.04
09022,Mê Linh,Me Linh,Xã Mê Linh,Me Linh Commune,Xã,01,Hà Nội,Hanoi,21.150783,105.732921,21.104755,21.187884,105.695744,105.772581,34.97
09661,Minh Châu,Minh Chau,Xã Minh Châu,Minh Chau Commune,Xã,01,Hà Nội,Hanoi,21.212345,105.45344,21.179855,21.244302,105.441066,105.467697,10.36
10441,Mỹ Đức,My Duc,Xã Mỹ Đức,My Duc Commune,Xã,01,Hà Nội,Hanoi,20.65564,105.717562,20.597056,20.71194,105.663787,105.777072,52.73
00685,Nam Phù,Nam Phu,Xã Nam Phù,Nam Phu Commune,Xã,01,Hà Nội,Hanoi,20.919832,105.883782,20.903022,20.935726,105.859117,105.913266,13.74
00160,Nghĩa Đô,Nghia Do,Phường Nghĩa Đô,Nghia Do Ward,Phường,01,Hà Nội,Hanoi,21.045091,105.794402,21.03027,21.05679,105.780959,105.806643,4.34
00008,Ngọc Hà,Ngoc Ha,Phường Ngọc Hà,Ngoc Ha Ward,Phường,01,Hà Nội,Hanoi,21.038124,105.816315,21.030623,21.047802,105.805235,105.828376,2.68
00679,Ngọc Hồi,Ngoc Hoi,Xã Ngọc Hồi,Ngoc Hoi Commune,Xã,01,Hà Nội,Hanoi,20.912349,105.837039,20.895349,20.929282,105.806054,105.862738,13.35
00433,Nội Bài,Noi Bai,Xã Nội Bài,Noi Bai Commune,Xã,01,Hà Nội,Hanoi,21.230801,105.794656,21.184182,21.28782,105.732233,105.838347,51.64
00190,Ô Chợ Dừa,O Cho Dua,Phường Ô Chợ Dừa,O Cho Dua Ward,Phường,01,Hà Nội,Hanoi,21.023275,105.825762,21.013935,21.032162,105.814991,105.836038,1.83
09817,Ô Diên,O Dien,Xã Ô Diên,O Dien Commune,Xã,01,Hà Nội,Hanoi,21.109411,105.704109,21.06917,21.143373,105.672146,105.736991,32.06
09952,Phú Cát,Phu Cat,Xã Phú Cát,Phu Cat Commune,Xã,01,Hà Nội,Hanoi,20.946065,105.560557,20.909693,20.989399,105.503639,105.620453,51.21
00619,Phú Diễn,Phu Dien,Phường Phú Diễn,Phu Dien Ward,Phường,01,Hà Nội,Hanoi,21.048875,105.765773,21.036604,21.060405,105.745357,105.782233,6.29
09568,Phú Lương,Phu Luong,Phường Phú Lương,Phu Luong Ward,Phường,01,Hà Nội,Hanoi,20.939428,105.766457,20.922602,20.954546,105.745291,105.791856,9.4
10030,Phú Nghĩa,Phu Nghia,Xã Phú Nghĩa,Phu Nghia Commune,Xã,01,Hà Nội,Hanoi,20.918207,105.641872,20.880711,20.955745,105.59755,105.677417,40.25
00091,Phú Thượng,Phu Thuong,Phường Phú Thượng,Phu Thuong Ward,Phường,01,Hà Nội,Hanoi,21.086015,105.801938,21.070445,21.097728,105.785841,105.820877,7.21
10273,Phú Xuyên,Phu Xuyen,Xã Phú Xuyên,Phu Xuyen Commune,Xã,01,Hà Nội,Hanoi,20.764167,105.917464,20.718687,20.810087,105.86831,105.969338,60.02
00541,Phù Đổng,Phu Dong,Xã Phù Đổng,Phu Dong Commune,Xã,01,Hà Nội,Hanoi,21.074081,105.945055,21.03738,21.121137,105.896453,106.002586,41.62
